ID,name,difficulty_rating,route_type,visitor_usage,avg_rating,area_name,city_name,features,activities,num_reviews,latitude,longitude,length_miles,elevation_gain_ft,steepness_ftmi,difficulty_category,area_category,url
10233829,El Cajon Mountain Trail,5,O,3,4.5,El Capitan County Preserve,Lakeside,"['dogs', 'river', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'mountain-biking', 'nature-trips', 'rock-climbing', 'trail-running']",990,32.91284,-116.88451,10.6,3576.0001,337.35850000000005,very strenuous,Protected Area,https://www.alltrails.com/trail/us/california/el-cajon-mountain-trail
10239325,Lake Hodges Overlook Trail,3,O,3,4.5,Elfin Forest Recreational Reserve,Escondido,"['dogs-leash', 'forest', 'lake', 'river', 'views', 'wild-flowers', 'wildlife']","['hiking', 'mountain-biking', 'horseback-riding']",863,33.08671,-117.14534,6.4,1371.0,214.21875,moderately strenuous,Forest,https://www.alltrails.com/trail/us/california/lake-hodges-overlook-trail
10027563,Big Pine Lakes Trail,5,L,3,5.0,John Muir Wilderness,Big Pine,"['dogs', 'forest', 'lake', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['backpacking', 'birding', 'camping', 'hiking', 'nature-trips', 'trail-running']",518,37.1282,-118.42778,14.3,3389.0001,236.99301398601398,very strenuous,Protected Area,https://www.alltrails.com/trail/us/california/big-pine-lakes-trail
10015806,San Bernardino Peak Trail via Angelus Oaks,5,O,4,4.5,San Gorgonio Wilderness,Angelus Oaks,"['dogs-leash', 'forest', 'river', 'views', 'wildlife']","['backpacking', 'camping', 'hiking', 'nature-trips', 'trail-running']",830,34.14617,-116.97832,15.8,4691.0002,296.89874683544303,very strenuous,Protected Area,https://www.alltrails.com/trail/us/california/san-bernardino-peak-trail-via-angelus-oaks
10238429,Heart Rock Trail,1,L,3,4.5,San Bernardino National Forest,Cedarpines Park,"['dogs-leash', 'forest', 'kids', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'fishing', 'hiking', 'nature-trips', 'walking']",805,34.25419,-117.3031,1.7,285.0,167.64705882352942,easy,Forest,https://www.alltrails.com/trail/us/california/heart-rock-trail
10033217,Fortuna Mountain Trail,5,L,4,4.5,Mission Trails Regional Park,San Diego,"['dogs-leash', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'mountain-biking', 'nature-trips', 'trail-running']",793,32.82528,-117.07599,6.3,1364.0,216.5079365079365,moderately strenuous,Regional Park,https://www.alltrails.com/trail/us/california/fortuna-mountain-trail
10029877,Los Penasquitos Canyon Trail,1,L,3,4.0,Los Penasquitos Canyon Preserve,San Diego,"['dogs-leash', 'forest', 'kids', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'mountain-biking', 'nature-trips', 'trail-running', 'walking', 'canoeing']",889,32.93837,-117.12936,6.8,147.0,21.61764705882353,easy,Protected Area,https://www.alltrails.com/trail/us/california/los-penasquitos-canyon-trail
10287246,Backbone Trail to Sandstone Peak and Mishe Mokwa Trail Loop,3,L,3,4.5,Santa Monica Mountains National Recreation Area,Malibu,"['dogs-leash', 'forest', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running']",738,34.11463,-118.91831,5.7,1312.0,230.17543859649123,moderately strenuous,Recreation Area,https://www.alltrails.com/trail/us/california/backbone-trail-to-sandstone-peak-and-mishe-mokwa-trail-loop
10021855,Santa Margarita River Trail,3,O,3,4.5,Unlabeled,Fallbrook,"['dogs-leash', 'forest', 'kids', 'river', 'views', 'wild-flowers', 'wildlife']","['hiking', 'mountain-biking', 'nature-trips', 'trail-running', 'horseback-riding']",756,33.41328,-117.24133,5.0,469.0,93.8,moderate,None,https://www.alltrails.com/trail/us/california/santa-margarita-river-trail
10060995,Hollyridge Trail to Hollywood Sign Viewpoint,3,O,4,4.5,Griffith Park,Los Angeles,"['dogs-leash', 'partially-paved', 'views']","['hiking', 'nature-trips', 'trail-running', 'walking', 'horseback-riding']",589,34.12503,-118.31322,5.1,849.0,166.47058823529412,moderate,Park,https://www.alltrails.com/trail/us/california/hollyridge-trail
